Tweets,Classification path,Level 1 label,Level 1 probability
2017-12-02 07:01:48 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 06:58:08 @OhioStateFB @OSUCoachMeyer @OhioState @OhioStAthletics Who thinks this would be cool places to put high concrete w… https://t.co/5eeTxFERb4,/neutral/,neutral,0.578
2017-12-02 06:57:25 Who thinks this would be cool places to put high concrete walls to make #TheShoe much more louder louder than it al… https://t.co/rM9EUJGHMQ,/neutral/,neutral,0.447
2017-12-02 06:37:17 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.588
2017-12-02 06:32:02 RT @HamiltonESPN: Teams with most recruiting momentum headed into December:,/neutral/,neutral,0.629
1. #UGA ,/neutral/,neutral,0.455
2. #OhioState ,/neutral/,neutral,0.472
3. #Sooners,/neutral/,neutral,0.48
4. #Clemson,/neutral/,neutral,0.5
5. #Canes ,/neutral/,neutral,0.477
On…,/neutral/,neutral,0.533
2017-12-02 06:28:23 RT @HamiltonESPN: Teams with most recruiting momentum headed into December:,/neutral/,neutral,0.716
1. #UGA ,/neutral/,neutral,0.455
2. #OhioState ,/neutral/,neutral,0.472
3. #Sooners,/neutral/,neutral,0.48
4. #Clemson,/neutral/,neutral,0.5
5. #Canes ,/neutral/,neutral,0.477
On…,/neutral/,neutral,0.533
"2017-12-02 06:12:15 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 06:00:00 #OhioState QB Barrett likely to play vs Badgers despite surgery https://t.co/zsP0k97jwO https://t.co/HNOxCf44nS,/neutral/,neutral,0.72
2017-12-02 05:58:59 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
"2017-12-02 05:56:43 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 05:49:24 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 05:46:26 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 05:43:08 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 05:35:48 RT @Hercules__52: Grateful to be in this position I️ am in 🙏🏾❗️ #OhioState #BuckeyeNation ⭕️🌰 https://t.co/N9wW6Vc3ip,/neutral/,neutral,0.646
2017-12-02 05:34:42 #OhioState vs. #Wisconsin in the #BigTenChampionship will be incredible tomorrow. I will take the #Buckeyes in a ph… https://t.co/aNQ4WWpx3W,/neutral/,neutral,0.606
2017-12-02 05:31:59 @Sam_Hubbard_ and @nbsmallerbear will both be forces tomorrow night. #OhioState,/neutral/,neutral,0.506
2017-12-02 05:29:18 #OhioState cannot get off to an extremely slow start like they have in past big games. They also must stop the run… https://t.co/5rExG5zCT1,/neutral/,neutral,0.411
"2017-12-02 05:25:56 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 05:19:06 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
"2017-12-02 05:17:13 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 05:14:07 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 05:13:38 In school?  Take a ride for free w the LYFT app. Use credit code LICK for free rides credits. #OhioState #PennState #UConn #rutgers,/neutral/,neutral,0.603
"2017-12-02 05:09:33 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.581
2017-12-02 05:03:30 Bet on the #NCAA title games tomorrow.,/neutral/,neutral,0.675
#Auburn #Georgia,/neutral/,neutral,0.368
#Miami #Clemson,/neutral/,neutral,0.439
#Wisconsin #OhioState… https://t.co/sZ9zO9fd1O,/neutral/,neutral,0.586
"2017-12-02 05:01:58 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 05:01:41 #OhioState Football: Q &amp; A with a #WisconsinBadger https://t.co/lmqSFYWQ4o,/neutral/,neutral,0.656
2017-12-02 05:00:31 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.688
2017-12-02 04:55:24 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 04:54:49 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 04:43:05 RT @SportsGuyTweets: Top 10 Winning % Over The Last 15 Years In College Football:,/neutral/,neutral,0.569
1. #BoiseState - 84.1%,/neutral/,neutral,0.54
2. #OhioState - 83.5%,/neutral/,neutral,0.54
3. #Oklahom…,/neutral/,neutral,0.472
"2017-12-02 04:35:28 Urban Meyer on J.T. Barrett being cleared to play coming off Sunday's knee procedure: ""I can't say that's normal be… https://t.co/h65VadwjoU",/neutral/,neutral,0.394
2017-12-02 04:32:42 Actual exchange between me and a wild Wisconsin fan downtown...,/neutral/,neutral,0.54
Me: (Spots a group of them walking),/neutral/,neutral,0.35
Me: Go Buckeye… https://t.co/bRQIjQaP0H,/neutral/,neutral,0.58
2017-12-02 04:29:27 Driving through downtown Screaming O-H!!! At all my buckeye fan brothers and sisters and then calling out all the W… https://t.co/WkrF7hyIWc,/neutral/,neutral,0.692
"2017-12-02 04:28:26 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 04:25:12 Watch: BTN takes a look at the #OhioState &amp; Wisconsin QBs.,/neutral/,neutral,0.614
#GoBucks #BeatWisconsin https://t.co/AyPXTu4RHD,/neutral/,neutral,0.526
"2017-12-02 04:24:37 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.581
2017-12-02 04:24:08 RT @rayraystock: @SamEkstrom #OhioState  players make great Vikings.,/neutral/,neutral,0.551
"2017-12-02 04:18:49 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.66
2017-12-02 04:18:30 Scarlet and Gray go great with the holiday theme out here in LA! #merrychristmas #ohio #ohiostate https://t.co/WtBpKY2pLE,/positive/,positive,0.518
2017-12-02 04:17:43 @KirkHerbstreit Najee Harris would have started at #Michigan  and #OhioState @espn #espn,/neutral/,neutral,0.612
"2017-12-02 04:15:30 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.581
2017-12-02 04:14:05 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 04:13:09 RT @SunnyDoench: With #OhioState hopeful to serve a brutal Badger Bash-down tomorrow - who will be our starting QB? #LetsGoBucks #GiveEmHel…,/neutral/,neutral,0.539
2017-12-02 04:12:38 RT @SunnyDoench: With #OhioState hopeful to serve a brutal Badger Bash-down tomorrow - who will be our starting QB? #LetsGoBucks #GiveEmHel…,/neutral/,neutral,0.444
2017-12-02 04:11:39 With #OhioState hopeful to serve a brutal Badger Bash-down tomorrow - who will be our starting QB? #LetsGoBucks #GiveEmHell ❤️🏈🙌🏻,/positive/,positive,0.498
2017-12-02 04:08:17 Who is winning #OhioState v. #Wisconsin? #OSUvsWIS #WISvsOSU #Big10 #GoBucks #BeatWisconsin #OnWisconsin #Badgers… https://t.co/rR8d18MZpO,/neutral/,neutral,0.485
2017-12-02 04:07:44 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 04:07:34 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.593
2017-12-02 04:06:28 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
2017-12-02 04:04:22 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.673
"2017-12-02 04:03:34 If #TCU, #UGA, #Miami, and #OhioState win, it would be the perfect ending to what has been the most unpredictable week in CFB history.",/positive/,positive,0.573
"2017-12-02 04:02:34 RT @OhioStateClock: 2,197 days since Michigan's last win over Ohio State in football. #OhioState",/neutral/,neutral,0.581
2017-12-02 04:02:32 RT @TexasHoopsTV: #OhioState #Buckeyes Commit 2018 Jae Ledee (@jae_ledee) Goes For 40 in @MISDTourneys Opening Round for Houston Kinkaid! #…,/neutral/,neutral,0.593
2017-12-02 04:01:01 #Alabama lost to a top ranked team.,/neutral/,neutral,0.588
"#Clemson, #OhioState and #Miami all lost to UNRANKED teams. Bama should be ranked higher for being #1.",/positive/,positive,0.413
"2017-12-02 03:51:12 RT @ChadSimmons_: He was just offered by #Oklahoma today. #Alabama, #Clemson, #Georgia, #OhioState, #Gamecocks and many others have offered…",/neutral/,neutral,0.605
2017-12-02 03:34:36 Who wants an #ohiostate afghan for #Christmas?! Order today for next business day shipping!,/neutral/,neutral,0.559
